Instance,Min,LDEG,GDEG,AStar,MCTS,Best
instances/GBRL/50_ep0.15_0_gilbert_7.in,3,3,3,3,3,Min
instances/GBRL/100_r0.219_0_geom_10.gin,7,7,7,7,7,Min
instances/GBRL/50_ep0.2_0_gilbert_6.in,3,3,3,3,3,Min
instances/GBRL/100_ep0.125_0_gilbert_1.in,3,3,3,3,3,Min
instances/GBRL/100_ep0.075_0_gilbert_8.in,4,4,4,4,4,Min
instances/GBRL/100_ep0.1_0_gilbert_7.in,4,4,4,4,4,Min
instances/GBRL/100_r0.169_0_geom_3.gin,9,10,9,29,29,AStar
instances/GBRL/100_r0.169_0_geom_2.gin,13,13,16,14,21,MCTS
instances/GBRL/100_ep0.125_0_gilbert_5.in,3,3,3,3,3,Min
instances/GBRL/50_ep0.15_0_gilbert_3.in,4,4,4,4,4,Min
instances/GBRL/50_ep0.2_0_gilbert_2.in,3,3,3,3,3,Min
instances/GBRL/50_ep0.2_0_gilbert_10.in,3,3,3,3,3,Min
instances/GBRL/100_ep0.075_0_gilbert_9.in,4,4,4,4,4,Min
instances/GBRL/100_ep0.1_0_gilbert_6.in,3,3,4,3,3,GDEG
instances/GBRL/100_r0.169_0_geom_6.gin,8,11,8,11,11,LDEG
instances/GBRL/100_r0.169_0_geom_7.gin,8,9,8,9,8,LDEG
instances/GBRL/100_ep0.125_0_gilbert_4.in,3,3,3,3,3,Min
instances/GBRL/50_ep0.15_0_gilbert_2.in,4,4,4,4,4,Min
instances/GBRL/50_ep0.2_0_gilbert_3.in,4,4,4,4,4,Min
instances/GBRL/50_r0.299_0_geom_9.gin,5,5,5,5,5,Min
instances/GBRL/100_ep0.1_0_gilbert_2.in,4,4,4,4,4,Min
instances/GBRL/50_r0.259_0_geom_10.gin,6,7,6,7,7,LDEG
instances/GBRL/100_ep0.075_0_gilbert_10.in,4,4,4,4,4,Min
instances/GBRL/100_r0.169_0_geom_5.gin,9,9,9,9,9,Min
instances/GBRL/100_r0.169_0_geom_4.gin,9,12,12,12,9,LDEG
instances/GBRL/50_ep0.15_0_gilbert_6.in,3,3,3,3,3,Min
instances/GBRL/50_ep0.2_0_gilbert_7.in,3,3,3,3,3,Min
instances/GBRL/50_r0.334_0_geom_10.gin,3,3,3,3,3,Min
instances/GBRL/50_r0.299_0_geom_8.gin,4,4,4,4,4,Min
instances/GBRL/50_r0.299_0_geom_5.gin,4,4,4,4,4,Min
instances/GBRL/100_ep0.1_0_gilbert_5.in,3,3,3,3,3,Min
instances/GBRL/100_r0.195_0_geom_1.gin,6,6,6,6,6,Min
instances/GBRL/50_ep0.25_0_gilbert_8.in,3,3,3,3,3,Min
instances/GBRL/50_r0.334_0_geom_1.gin,3,3,3,3,3,Min
instances/GBRL/100_r0.169_0_geom_9.gin,9,90,9,89,89,LDEG
instances/GBRL/100_r0.169_0_geom_8.gin,9,12,9,12,14,MCTS
instances/GBRL/100_ep0.1_0_gilbert_10.in,4,4,4,4,4,Min
instances/GBRL/100_ep0.125_0_gilbert_7.in,3,3,3,3,3,Min
instances/GBRL/50_ep0.15_0_gilbert_1.in,3,4,3,3,3,LDEG
instances/GBRL/50_r0.299_0_geom_4.gin,6,48,6,47,47,LDEG
instances/GBRL/100_ep0.1_0_gilbert_1.in,3,3,3,3,3,Min
instances/GBRL/50_r0.299_0_geom_6.gin,5,5,5,5,5,Min
instances/GBRL/100_r0.195_0_geom_2.gin,7,7,7,7,7,Min
instances/GBRL/50_r0.334_0_geom_2.gin,5,5,5,5,5,Min
instances/GBRL/50_r0.334_0_geom_3.gin,3,3,3,3,3,Min
instances/GBRL/100_r0.195_0_geom_3.gin,9,9,9,9,9,Min
instances/GBRL/50_ep0.2_0_gilbert_4.in,3,3,3,3,3,Min
instances/GBRL/50_ep0.15_0_gilbert_5.in,4,4,4,4,4,Min
instances/GBRL/100_ep0.125_0_gilbert_3.in,3,3,3,3,3,Min
instances/GBRL/50_r0.299_0_geom_7.gin,5,5,5,5,5,Min
instances/GBRL/50_r0.299_0_geom_3.gin,4,4,4,4,4,Min
instances/GBRL/100_r0.195_0_geom_7.gin,8,9,9,8,8,LDEG
instances/GBRL/50_r0.334_0_geom_7.gin,5,5,5,5,5,Min
instances/GBRL/50_r0.334_0_geom_6.gin,3,3,3,3,3,Min
instances/GBRL/100_r0.195_0_geom_6.gin,6,6,6,6,6,Min
instances/GBRL/50_ep0.2_0_gilbert_5.in,3,3,3,3,3,Min
instances/GBRL/50_ep0.15_0_gilbert_4.in,3,4,3,3,3,LDEG
instances/GBRL/100_ep0.125_0_gilbert_2.in,3,3,3,3,3,Min
instances/GBRL/50_r0.299_0_geom_2.gin,5,5,5,5,5,Min
instances/GBRL/100_ep0.1_0_gilbert_4.in,3,3,3,3,3,Min
instances/GBRL/100_r0.195_0_geom_4.gin,9,11,9,9,10,LDEG
instances/GBRL/50_ep0.25_0_gilbert_9.in,2,2,2,2,2,Min
instances/GBRL/50_r0.334_0_geom_4.gin,4,4,4,4,4,Min
instances/GBRL/50_r0.334_0_geom_5.gin,4,4,4,4,4,Min
instances/GBRL/100_r0.195_0_geom_5.gin,6,6,6,6,6,Min
instances/GBRL/100_ep0.125_0_gilbert_6.in,3,3,3,3,3,Min
instances/GBRL/50_ep0.2_0_gilbert_1.in,3,3,3,3,3,Min
